pdf_name,page,code,keyword,context,validated,relevant,confirmed_code,notes
Wien Curriculum.pdf,8.0,Code 2.7: Professionelle Haltung & Ethik,Reflexion,"von Schreib- und Lesehemmungen, können diese anwenden und hinsichtlich ihres eigenen Lese- und Schreibstils reflektieren.  • Die Studierenden erproben KI-Tools beim Schreiben von Texten.   Lernprozessreflexion I | SE 1 SWS   2 ECTS Inhalt • Auseinandersetzung mit der Frage, wie Erwachsene lernen und welche Faktoren förderlich, aber auch hinderlich für das Anregen und Durchlaufen von Lernprozessen sind. • I",True,nein,Code 2.7: Professionelle Haltung & Ethik,
Wien Curriculum.pdf,9.0,Code 2.3: Individuelle Förderung & Differenzierung,differenziert,"Young Child Observation I | SE 2 SWS   3 ECTS Inhalt • Durchführung der Methode der Young Child Observation als Basis für die Fallarbeit und Fallanalyse: Beobachtungen, Erstellen von deskriptiven und differenzierten Beobachtungsprotokollen, Besprechung der Protokolle in der Lehrveranstaltung, Verfassen von Besprechungsprotokollen. • Verstehen der Bedeutung von Interaktionsprozessen der pädagogischen Fachkräfte",True,nein,Code 2.3: Individuelle Förderung & Differenzierung,
Wien Curriculum.pdf,9.0,Code 2.4: Abbau von Benachteiligung & Diskriminierung,Zugang,Unklarheiten bzw. „Rätsel“ mit besonderem Fokus auf eigene Lernwiderständen. Lernergebnisse • Studierende haben unter Berücksichtigung der eigenen Bildungsbiografie in Ansätzen einen selbstreflexiven Zugang zu eigenen Lernprozessen aufgebaut. • Studierende haben in Ansätzen ein Verständnis von Lernprozessen erwachsener Lernender entwickelt. • Studierende haben Grundkenntnisse zur Anregung von Lernprozes,True,nein,Code 2.4: Abbau von Benachteiligung & Diskriminierung,
Wien Curriculum.pdf,9.0,Code 2.7: Professionelle Haltung & Ethik,reflexiv,iten sowie Unklarheiten bzw. „Rätsel“ mit besonderem Fokus auf eigene Lernwiderständen. Lernergebnisse • Studierende haben unter Berücksichtigung der eigenen Bildungsbiografie in Ansätzen einen selbstreflexiven Zugang zu eigenen Lernprozessen aufgebaut. • Studierende haben in Ansätzen ein Verständnis von Lernprozessen erwachsener Lernender entwickelt. • Studierende haben Grundkenntnisse zur Anregung von L,True,ja,Code 2.7: Professionelle Haltung & Ethik,
Wien Curriculum.pdf,9.0,Code 2.7: Professionelle Haltung & Ethik,reflexiv,"en. • Verstehen der Bedeutung von Interaktionsprozessen der pädagogischen Fachkräfte und dem Zusammenhang mit kindlichen Entwicklungs- und Bildungsprozessen. • Auseinandersetzung mit selbst- und fremdreflexiven Kompetenzen im Kontext von Beobachtung. Lernergebnisse • Studierende sind in der Lage, ein Kind (im Einzel- und Gruppensetting) in der Institution Kindergarten zu beobachten, dies in Beobachtungspr",True,ja,Code 2.7: Professionelle Haltung & Ethik,
Wien Curriculum.pdf,10.0,Code 2.1: Diversität & Heterogenität,sozial,en selbst- und fremdreflexiven Kompetenzen im Zusammenhang mit Beobachtungen auseinander.  • Studierende können Besprechungsprotokolle der Sitzungen im Rahmen von Young Child Observation verfassen.   Sozialisation und Hospitation | UE 0 SWS   5 ECTS Inhalt • Überblick über grundlegende Ziele und Aufgaben sowie verschiedenen Handlungsfelder und Bildungsbereiche in elementaren Bildungseinrichtungen (Einri,True,nein,Code 2.1: Diversität & Heterogenität,
Wien Curriculum.pdf,10.0,Code 2.5: Bildungspartnerschaft & Sozialraumorientierung,Transition,"hmenbedingungen) • Bundeslandspezifische Regelungen  • Grundlegende Auseinandersetzung mit dem BildungsRahmenPlan des CBI – 2009 (Pädagogische Orientierung, Bildung und Kompetenzen, Bildungsbereiche, Transitionen, pädagogische Qualität) • Auseinandersetzung mit eigenen Erwartungen an die Praxis elementarer Bildungseinrichtungen • Hospitation in unterschiedlichen elementarpädagogischen Situationen und Reflex",True,ja,Code 2.5: Bildungspartnerschaft & Sozialraumorientierung,
Wien Curriculum.pdf,10.0,Code 2.7: Professionelle Haltung & Ethik,Reflexion,"sitionen, pädagogische Qualität) • Auseinandersetzung mit eigenen Erwartungen an die Praxis elementarer Bildungseinrichtungen • Hospitation in unterschiedlichen elementarpädagogischen Situationen und Reflexion der ersten praktischen Erfahrungen in der Interaktion mit Kindern im gemeinsamen Spiel. • Grundlegende und aktuelle Fachinhalte zur praktischen Arbeit im elementarpädagogischen Handlungsfeld (i.B. An",True,ja,Code 2.7: Professionelle Haltung & Ethik,
Wien Curriculum.pdf,10.0,Code 2.7: Professionelle Haltung & Ethik,reflexiv,"und können daraus Überlegungen anstellen, wie Kinder im Sinne ihrer Entwicklungs- und Bildungsprozesse begleitet werden können. • Studierende setzen sich mit den eigenen selbst- und fremdreflexiven Kompetenzen im Zusammenhang mit Beobachtungen auseinander.  • Studierende können Besprechungsprotokolle der Sitzungen im Rahmen von Young Child Observation verfassen.   Sozialisation und Hospitatio",True,ja,Code 2.7: Professionelle Haltung & Ethik,
Wien Curriculum.pdf,11.0,Code 2.1: Diversität & Heterogenität,sozial,"raxisorganisation sowie des pädagogischen Handelns unter Anwendung entwicklungstheoretischer Perspektiven. Lernergebnisse • Die Studierenden verfügen über entwicklungstheoretische Grundkenntnisse zur sozialen, emotionalen und kognitiven Entwicklung in der Frühen Kindheit (0 bis 6 Jahre), wissen um die Bedeutung der frühen Beziehungserfahrungen für diese Entwicklungsprozesse und können dafür auf untersch",True,nein,Code 2.1: Diversität & Heterogenität,
