pdf_name,page,code,keyword,context,validated,relevant,confirmed_code,notes
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",6,Code 2.4: Abbau von Benachteiligung & Diskriminierung,ko-konstruktiv,"ementarpädagoginnen  und -pädagogen  besteht darin, den Bildungsauftrag im Sinne des 
Bundesländerübergreifenden BildungsRahmenPlans für el ementare Bildungseinrichtungen  in Österreich  
umzusetzen, ko-konstruktive Bildungsprozesse zu initiieren  und zu begleiten  sowie  die Eltern  und 
Obsorgeberechtigten1 in ihrer Erziehung der Kinder zu unterstützen.  
 
Gemäß dem aktuellen Bildungsbegriff  steht entwicklu",True,nein,Code 2.4: Abbau von Benachteiligung & Diskriminierung,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",6,Code 2.7: Professionelle Haltung & Ethik,reflexiv,"assten .5 
 
Dem Bachelorstudium Elementarpädagogik liegen ein elementarpädagogisches Professionsverständnis, das 
gesellschaftstheoretisch fundiert, auf wissenschaftliche Grundlagen gestützt und auf reflexiv -analytischen 
Kompetenzen aufbaut sowie ein konstruktivistischer Ansatz zugrunde.  
Elementarpädagogisch professionelles Handeln orientie rt sich dabei an pädagogischem, methodischem, themen - 
und",True,nein,Code 2.7: Professionelle Haltung & Ethik,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",6,Code 2.7: Professionelle Haltung & Ethik,Wertschätzung,"erieren diese Strategien, unterstützen selbst  gesteuerte Lernprozesse  und 
setzen vielfältige Impulse und Bildungsangebote. Hierbei handelt es sich um individuelle Bildungsbegleitung auf 
Basis von Wertschätzung  und Vertrauen  unter Achtung der Bedürfnisse und Interessen der Kinder.2  
 
Die Gestaltung de s Curriculums Elementar pädagogik  orientiert sich in Ergänzung zum Bundesrahmengesetz zur 
Einführung",True,nein,Code 2.7: Professionelle Haltung & Ethik,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",7,Code 2.1: Diversität & Heterogenität,sozial,"r, Burkhard; Thole, Werner (2009). Die Pädagogik der Kinder - und Jugendarbeit. 
 Wiesbaden:  Springer Verlag  
  Dewe, Bernd; Ferchhoff, Wilfried; Scherr, Albert; Stüwe, Gerd (2011). Professionelles soziales Handeln. Weinheim 
 und München: Juventa Verlag  
  Fthenakis, Wassilos Emmanuel (2003). Zur Neukonzeptualisierung von Bildung in der frühen Kin dheit. In: Ders. 
 Elementarpädagogik nach PISA. Wie",True,nein,Code 2.1: Diversität & Heterogenität,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",7,Code 2.7: Professionelle Haltung & Ethik,Haltung,"entwickeln, um professionelle Qualitäten zu 
modifizieren.  Diese sind somit abgesichert durch theoretisch -formales Wissen, faktisch -praktisches Wissen und 
Können u nd eine reflektierte berufliche Haltung.6 
Das d em Curriculum zu Grunde liegende  Kompetenzprofil wird in den einzelnen Modulen sichtbar.  
  
                                                      
6  Vgl. u.a.  
  Cloos, Peter; Köngeter,",True,nein,Code 2.7: Professionelle Haltung & Ethik,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",8,Code 2.1: Diversität & Heterogenität,sozial,"Zweig wird gemäß 38 Abs. 1a Z 2 HG 2005 ein 
Bachelorstudium Elementar pädagogik , das der Ausbildung in allgemeinen pädagogischen Berufsfeldern (z.B. 
Beru fstätigkeit an elementarpädagogischen oder sozialpädagogischen Bildungseinrichtungen) dient, angeboten  
und hat einen Arbeitsaufwand von 180 ECTS -A und eine Dauer von sechs Semestern . 
Anerkennungsmöglichkeiten von Vorausbildungen sind durch §  5",True,nein,Code 2.1: Diversität & Heterogenität,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",10,Code 1.1: Direkte Nennung,Chancengleichheit,"urch eine bestmögliche Ausbildung auf ihre anspruchsvolle Tätigkeit vorbereitet werden 
müssen.  Die Forderung nach Bildungsgerechtigkeit, die in der österreichischen Bundesverfassung12 in Bezug auf 
Chancengleichheit und Teilhabegerechtigkeit als Ziele genannt werden, bildet die Basis.  
Ein weiterer Anspruch an akademisch ausgebildeten Elementar pädagoginnen und -pädagogen wird auch durch 
das im bundesländerübe",True,ja,Code 1.1: Direkte Nennung,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",10,Code 1.1: Direkte Nennung,Bildungsgerechtigkeit,"erdies gesteigerte Anforderungen an die Elementarpädagoginnen 
und -pädagogen, die durch eine bestmögliche Ausbildung auf ihre anspruchsvolle Tätigkeit vorbereitet werden 
müssen.  Die Forderung nach Bildungsgerechtigkeit, die in der österreichischen Bundesverfassung12 in Bezug auf 
Chancengleichheit und Teilhabegerechtigkeit als Ziele genannt werden, bildet die Basis.  
Ein weiterer Anspruch an akademisch ausgebildet",True,ja,Code 1.1: Direkte Nennung,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",10,Code 1.1: Direkte Nennung,Teilhabegerechtigkeit,"Ausbildung auf ihre anspruchsvolle Tätigkeit vorbereitet werden 
müssen.  Die Forderung nach Bildungsgerechtigkeit, die in der österreichischen Bundesverfassung12 in Bezug auf 
Chancengleichheit und Teilhabegerechtigkeit als Ziele genannt werden, bildet die Basis.  
Ein weiterer Anspruch an akademisch ausgebildeten Elementar pädagoginnen und -pädagogen wird auch durch 
das im bundesländerübergreifenden BildungsRahmen",True,ja,Code 1.1: Direkte Nennung,
"Cluster Mitte_OÖ_Linz, Salzburg.pdf",10,Code 2.1: Diversität & Heterogenität,sozial,"rziehender Mütter  und Väter , die eine familien -externe Betreuung der Kinder erfordern . Überdies 
bedingt eine geringere Geschwister anzahl, dass  Kinder in der Familie oft nicht mehr die für ihre Sozialisation 
erforderlichen Erfahrungen mit Gleichaltrigen machen können. Nicht zuletzt wird in den frühen Bildungsangeboten 
für alle Kinder eine große Bildungschance gesehen, die dem einzelnen Kind wie",True,nein,Code 2.1: Diversität & Heterogenität,
